,avg_household_size_v2,median_household_income,pct_age_18_24,pct_age_65_plus,pct_bachelors_or_higher,pct_family_households,pct_hh_income_100k_plus,pct_hh_income_25k_50k,pct_hh_income_50k_100k,pct_hh_income_under_25k,pct_households_with_own_children_under_18,pct_less_than_high_school,pct_one_person_households,pct_rent_burden_30_plus,pct_rent_burden_50_plus,pct_renter_occupied,pct_senior_living_alone_households,pct_some_college_or_associate,pct_vacant_housing_units,poverty_rate,unemployment_rate
avg_household_size_v2,1.0,0.47442636953925016,-0.3996043281150247,0.12830084919165766,-0.38432970215726336,0.744893780083788,0.5047899235884846,-0.22958007352691676,0.18223454514886375,-0.4569777887657215,0.803969232083907,0.05039735879675055,-0.8560312651377294,-0.21851675532421674,-0.23324016671287587,-0.563537661873999,0.13789248035786136,0.415944655697372,-0.346159593103526,-0.37347516737084824,0.0755632532855256
median_household_income,0.47442636953925016,1.0,-0.7670074172329298,0.6670065849835581,-0.023005345269550826,0.7811145870547694,0.96145559818955,-0.5480718541983812,0.32871143361014443,-0.8594272726180213,0.6371719618143669,-0.29024170681999806,-0.7170701495163466,-0.5349703806829391,-0.5050222728042482,-0.8981552652795454,0.5097131553223102,0.24262848732819212,-0.786038121032791,-0.827999336403365,-0.31385638112170894
pct_age_18_24,-0.3996043281150247,-0.7670074172329298,1.0,-0.6988299061567003,0.4264544052607588,-0.8023640007497727,-0.6754611319912228,0.09553314654181805,-0.7288510458258567,0.9263516276512762,-0.6254209114794169,-0.03833324602345984,0.6373364258421225,0.5981286206634739,0.7504294916899203,0.8178332071003956,-0.6529275213171651,-0.47271470192208276,0.8021124189283757,0.9307360350312077,0.06174149689466903
pct_age_65_plus,0.12830084919165766,0.6670065849835581,-0.6988299061567003,1.0,-0.07486439750261667,0.5745431958031557,0.6235513913908698,-0.3404714449495773,0.4402388226767215,-0.6464560241595194,0.27351495570952444,-0.16467096993167216,-0.43033195759106024,-0.4672204203867787,-0.47061779606052,-0.7376922789986264,0.8418656138479865,0.13878622280829006,-0.5716387897675814,-0.6615301924915635,-0.13696255896132348
pct_bachelors_or_higher,-0.38432970215726336,-0.023005345269550826,0.4264544052607588,-0.07486439750261667,1.0,-0.39515220293781567,0.08877520301245168,-0.353332568447773,-0.4777611272590335,0.28549118139107116,-0.31362676608512635,-0.4853093781397676,0.2604071909855602,0.4019101247808432,0.4954183544773123,0.28986570172325204,-0.24896650399637815,-0.8169590643318453,0.17193016011774923,0.26899670802032727,-0.33252726989715337
pct_family_households,0.744893780083788,0.7811145870547694,-0.8023640007497727,0.5745431958031557,-0.39515220293781567,1.0,0.749980314147997,-0.26120972311508006,0.5367360211826473,-0.8377745467860801,0.8899013450293899,0.03678824860844539,-0.896100149224051,-0.49454416274821056,-0.595613051981894,-0.862660950019035,0.4864616474565203,0.4310637256436974,-0.7093873319802113,-0.822175859433843,-0.06691250498228697
pct_hh_income_100k_plus,0.5047899235884846,0.96145559818955,-0.6754611319912228,0.6235513913908698,0.08877520301245168,0.749980314147997,1.0,-0.6091791183960369,0.22374523858520984,-0.7803211185849681,0.650900139082709,-0.34813130228553774,-0.7460751492441067,-0.441072925843118,-0.39859886552830187,-0.8481688233278574,0.4471897097211717,0.13423721440149072,-0.7500824227020129,-0.7519743924863842,-0.2882426574844215
pct_hh_income_25k_50k,-0.22958007352691676,-0.5480718541983812,0.09553314654181805,-0.3404714449495773,-0.353332568447773,-0.26120972311508006,-0.6091791183960369,1.0,0.07514975804393728,0.1322800833361158,-0.16277422444351186,0.24456512090721458,0.40410285060940726,0.1754781761496155,-0.2251956457421908,0.47498011244091265,-0.1921620217842641,0.1609504009377122,0.3623987504455725,0.17391136801599283,0.3265879911348384
pct_hh_income_50k_100k,0.18223454514886375,0.32871143361014443,-0.7288510458258567,0.4402388226767215,-0.4777611272590335,0.5367360211826473,0.22374523858520984,0.07514975804393728,1.0,-0.7132855946267045,0.3890498402266184,0.26864728452285336,-0.3771019904873321,-0.6162679385966288,-0.7080829400349881,-0.5135464543316831,0.5329493607969313,0.3928620215181339,-0.609717618040052,-0.7282116712709328,-0.06094740437521602
pct_hh_income_under_25k,-0.4569777887657215,-0.8594272726180213,0.9263516276512762,-0.6464560241595194,0.28549118139107116,-0.8377745467860801,-0.7803211185849681,0.1322800833361158,-0.7132855946267045,1.0,-0.7144278964279236,0.09091691827148292,0.7025777301518101,0.6296016827354012,0.7888068755999366,0.8340021425171217,-0.5878908272905343,-0.3720141695389926,0.8348830640670496,0.9653985895238606,0.16553894705758396
pct_households_with_own_children_under_18,0.803969232083907,0.6371719618143669,-0.6254209114794169,0.27351495570952444,-0.31362676608512635,0.8899013450293899,0.650900139082709,-0.16277422444351186,0.3890498402266184,-0.7144278964279236,1.0,-0.030041909612711845,-0.7953043656361493,-0.3562412493536758,-0.46757963022533805,-0.656973480012162,0.29416694756957046,0.3772214023184493,-0.6176064869874105,-0.6960384431409042,-0.10659524645484152
pct_less_than_high_school,0.05039735879675055,-0.29024170681999806,-0.03833324602345984,-0.16467096993167216,-0.4853093781397676,0.03678824860844539,-0.34813130228553774,0.24456512090721458,0.26864728452285336,0.09091691827148292,-0.030041909612711845,1.0,-0.002844868991638789,-0.14634206281144102,-0.08403322295274304,0.11119526130221224,-0.009680761802589909,0.07482234402399765,-0.0326093106601675,0.04110899667770738,0.1445922220636754
